Empresa,Localidad,Num
A&b ZIN TECNICO S.L. (En trámite,Mérida,3
ACTEIN SERVICIOS S.L.Obras,Badajoz,4
Agencia Extremeña de la EnergíaAuditorías energéticas a Aytos.,Badajoz,41
ALTER ENERSUN,Mérida,2
ANTONIO CARLOS PANIAGUA ZAMORA (En trámite,Azuaga,1
ARRAM Consultores,Badajoz,17
ASETEX INGENIEROS,Galaroza,1
Ayuntamiento de Badajoz,,4
BIOTHERMIA S.L.- Instalaciones térmicas e hidráulicas y mantenimiento.- Instalaciones de refrigeración industrial y mantenimiento.,Badajoz,18
BOYMOSA,Cáceres,2
Business Development and Knowledge S.L. (BDK)Consultoría de NegocioDesarrollo de NegocioMarketingAsistencia ProfesionalRelaciones PúblicasServicios Técnicos de Elaboración de Estudios de Ingeniería,Madrid,1
Cactus Servicios Energéticos S.L. (Cactus Servicios Energéticos) (En trámite,Camas,1
CATELSA-Cáceres,Cáceres,18
Central Nuclear de AlmarazGeneración de energía eléctrica de origen nuclear,Torrecilla de los Ángeles,74
CENTROWAGEN S.L.CONCESIONARIO OFICIAL DE LAS MARCAS AUDI Y VOLKSWAGEN PARA LA PROVINCIA DE BADAJOZ,Badajoz,2
CLIMASOL INSTALACIONES Y MANTENIMIENTOS S.L (CLIMASOL)Instalaciones,Solana de los Barros,1
COBRA INSTALACIONES Y SERVICIOS S.A.,Madrid,14
CONSULTING DE ENERGÍAS RENOVABLES SIGLO XXI (EMECECUADRADO ING ENERGÉTICOS) (En trámite,Totana,13
CRISTIAN LAY,Jerez de los Caballeros,5
D.C.Gas Extremadura - Cristian Lay,Badajoz,7
DEUTZ SPAIN,Zafra,144
DIPUTACIÓN PROVINCIAL DE CÁCERESADMINISTRACIN PBLICA,Cáceres,2
DISEC INGENIEROS C.B. (DISEC)Programación KNK,Badajoz,10
DUCTOLUX,Mérida,14
E4 INGENIERIA Y CONTROL S.L. (ECUATRO)En Ecuatro estamos especializados en la búsqueda e implantación de soluciones de eficiencia energética enfocadas principalmente al sector público. Realizamos desde auditorías energéticas hasta la instalación y mantenimiento de los sistemas pasando por la búsqueda de subvenciones y/o financiación para conseguir viabilidad técnica y económica de los proyectos.Además realizamos,Badajoz,4
Edilizia Aplicada (EDILIZIA) (En trámite,Las Rozas,1
EFICAE SOLUCIONES C.B. (EFICAE)Se realizan los siguientes servicios:Optimización y estudio de suministro eléctricoElaboración de informesAuditorías EnergéticasProyectos,Badajoz,30
ELECNOR,Badajoz,100
Eléctrica de Monesterio,Sevilla,2
Electricidad La Serena,Villanueva de la Serena,4
ENERGAL,Galaroza,1
EOSA Energía,Cáceres,3
FLORENCIO ROSA IGLESIAS (FLORENCIA ROSA IGLESIAS),Zafra,1
FREEDÔM INGENIERÍA DOMÓTICA Y TELECOMUNICACIONES S.L.Ingeniería.Proyectos de electricidad.Proyectos de domótica.Energías renovablesAutomatización,Madrid,2
Fundación Centro Tecnológico Industrial de Extremadura (CETIEX)Innovación y proyectos de ingeniería,Badajoz,17
Gesolpac,Badajoz,8
GONZÁLEZ PROYECTOS TÉCNICOS,Badajoz,3
Gragera Industrial,Segura de León,7
GREEN FUEL EXTREMADURA S.A.,Los Santos de Maimona,2
Grupo Alfonso Gallardo,Jerez de los Caballeros,15
GRUPO INDULAMP ENERGY SLFabricación e instalación de luminarias de alta eficiencia energética (led e inducción),Villanueva de la Serena,1
Grupo Render Industrial,Navalmoral de la Mata,1
HEATCOOL EVENT S.L. (En trámite,Navalvillar de Pela,2
I+D Extremadura,Mérida,7
Iberdrola España,Bilbao,1
Imener desarrollo sostenible SLU (Imener)Venta e instalación de equipos para la producción de energías renovablesComercialización de biomasa (pellets,La Albuera,2
IMPULSA DIRECCIÓN DE PROYECTOS S.L. (En trámite,Galaroza,7
INDUSTRIA DE TURBO PROPULSORES S.A.Diseño,Zamudio,12
Ingenieros Consultores Global Energy,Badajoz,1
INGENOSTRUM SLCONSULTORÍA TÉCNICADESARROLLO DE PROYECTOS DE INGENIERÍA DE ENERGÍAS RENOVABLES AUDITORÍA TÉCNICA SERVICIOS DE  PROMOCIÓN,Sevilla,2
INQUIBA S.A.,,6
J.G. Borrego Gabinete Pericial,Badajoz,10
JUAN JIMÉNEZ CUADRADO,Miajadas,1
MANCOMUNIDAD INTEGRAL COMARCA DE OLIVENZAAsesoramiento y apoyo técnico en diversos aspectos:-Aspectos técnicos industriales reseñados en las solicitudes de implantación de actividades.- Ayudas en tareas de trabajos de campo,Olivenza,2
MEGAISAProyectos e instalaciones eléctricas,Don Benito,2
NESTLE ESPAÑA,,5
ONDUPACK,Segura de León,11
PROMEDIO,Badajoz,2
Proyectos e Instalaciones Gregorio Ortiz,Badajoz,20
Renovables SAMCA,Zaragoza,6
RESILUX IBÉRICA PACKAGING,Higuera La Real,8
Rivero Sudón,Tiétar,11
SAMPOL INGENIERÍA Y OBRAS S.A. (SAMPOL)PROYECTOS DE INGENIERÍA,Palma,2
Seguridad Integral SECOEX,Badajoz,7
SOLARIA Energías Renovables,Cáceres,6
SOLTEIN,Badajoz,32
TECNOCE S.L.Desarrollar sistemas de energía solar térmica y fotovoltaica,Gelves,4
TEKNICAM TECH ESPAÑA,Badajoz,10
VALSOLAR 2006,Badajoz,109
VEGENAT,Pueblonuevo del Guadiana,4
YNAR CONSULTORES TÉCNICOS S.L. (YNAR CONSULTORES)Proyectos,Galaroza,1
