Empresa,Localidad,Num
A&b ZIN TECNICO S.L. (En trámite,Mérida,3
ADASA SISTEMAS S.A.U. (ADASA SISTEMAS S.A.U.)INGENIERÍA ESPECIALIDADES EN SOLUCIONES TECNOLÓGICAS APLICADAS AL CICLO DEL AGUA,El Prat de Llobregat,1
ARRAM Consultores,Badajoz,17
AVIZOR PORTAL DE SEGURIDAD S.L.Empresa de vigilancia y seguridad privada. Tanto presencial como con instalación de sistemas de alarma y video vigilancia.,Mérida,2
BANDAS CORTÉS S.L.,,1
BioBee Technologies,Badajoz,11
BIOTHERMIA S.L.- Instalaciones térmicas e hidráulicas y mantenimiento.- Instalaciones de refrigeración industrial y mantenimiento.,Badajoz,18
CATELSA-Cáceres,Cáceres,18
CAYETANO MANUEL MORENO MUELAS (CAYETANO MANUEL MORENO MUELAS)Diseño,Badajoz,2
Central Nuclear de AlmarazGeneración de energía eléctrica de origen nuclear,Torrecilla de los Ángeles,74
CLONDEX - Marta Barroso Rodríguez (CLONDEX)La principal actividad de la empresa es la difusión y desarrollo en la tecnología de impresión 3D y de los sistemas CNC en general.,Badajoz,8
COBRA INSTALACIONES Y SERVICIOS S.A.,Madrid,14
CONSEJERÍA DE SALUD Y POLÍTICA SOCIAL,,12
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS,,1
Conservas Vegetales de Extemadura,Villafranco del Guadiana,19
CONSULTING DE ENERGÍAS RENOVABLES SIGLO XXI (EMECECUADRADO ING ENERGÉTICOS) (En trámite,Totana,13
Coveless Ingeniería,Badajoz,19
CRISTIAN LAY,Jerez de los Caballeros,5
D.C.Gas Extremadura - Cristian Lay,Badajoz,7
DEUTZ SPAIN,Zafra,144
DIAM CORCHOS S.A.Fabricación  de Tapones Tecnológicos de corcho.,San Vicente de Alcántara,5
DISEC INGENIEROS C.B. (DISEC)Programación KNK,Badajoz,10
DUCTOLUX,Mérida,14
