Empresa,Localidad,Num
Agencia Extremeña de la EnergíaAuditorías energéticas a Aytos.,Badajoz,41
ALTER ENERSUN,Mérida,2
AMG ENERGÍA Y TELECOMUNICACIONES S.L.Labores de ingeniería,Don Benito,1
ARQUIFAHO,Badajoz,8
AYESA INGENIERÍA Y ARQUITECTURA,,2
CATELSA-Cáceres,Cáceres,18
Central Nuclear de AlmarazGeneración de energía eléctrica de origen nuclear,Torrecilla de los Ángeles,74
COBRA INSTALACIONES Y SERVICIOS S.A.,Madrid,14
Conservas Vegetales de Extemadura,Villafranco del Guadiana,19
DISEC INGENIEROS C.B. (DISEC)Programación KNK,Badajoz,10
Electrofil-Oeste Distribución,Badajoz,3
Endesa Distribución Eléctrica,Badajoz,43
Inversolar Extremadura,Badajoz,14
LEMON SERVICIOS ENERGÉTICOS S.L. (LEMON SERVICIOS ENERGÉTICOS )Eficiencia Energética y Energías Renovables,Badajoz,1
MAGTEL OPERACIONES SLUMAGTEL realiza trabajos de diseño tecnológico,Córdoba,4
PMIngesolution - JUAN PABLO LÓPEZ SALAZAR (PMIngesolution) (En trámite,Badajoz,11
SEGUREX 06,Badajoz,3
Seguridad Integral SECOEX,Badajoz,7
U.T.E. MANTENIMIENTO OLIVENZAOPERACIÓN Y MANTENIMIENTO DE UNA PLANTA TERMOSOLAR,Mérida,5
VALSOLAR 2006,Badajoz,109
