Empresa,Localidad,Num
ABBITAT - Servicio Integral de Cocinas y Armarios,Guadiana del Caudillo,1
ACTEIN SERVICIOS S.L.Obras,Badajoz,4
Agencia Extremeña de la EnergíaAuditorías energéticas a Aytos.,Badajoz,41
AGROINGEX S.L.Diseño de instalaciones eléctricas para equipos de bombeo,Don Benito,1
ALBERALEX INGENIEROS,Hernán Cortes,1
ANANTA SOLUCIONES INDUSTRIALES S.A.,Casarrubios del Monte,1
APIMET Construcciones Autoportantes S.L. (APIMET) (En trámite,Badajoz,5
ARQUIFAHO,Badajoz,8
ARRAM Consultores,Badajoz,17
AS Solar Ibérica de Sistemas Energéticos Alternativos,Madrid,1
AUSCULTIA S.L. (AUSCULTIA)Proyectos de I+D+iCálculos de estructuras.Estudios patológicos de estructuras.,Galaroza,7
AUTOMOCIÓN DEL OESTE,Badajoz,2
Bialystok University of Technology,Bialystok (Polonia),1
BIOTHERMIA S.L.- Instalaciones térmicas e hidráulicas y mantenimiento.- Instalaciones de refrigeración industrial y mantenimiento.,Badajoz,18
CAPILLA FABRICACIÓN MAQUINARIA AGRÍCOLA S.L.,Don Benito,1
CASADO INGENIEROS S.L.ESTUDIO DE INGENIERÍA CON REDACCIÓN DE PROYECTO TÉCNICOS PARA INSTALACIONES VARIAS INDUSTRIALES E INSTALACIONES DEALMACENAMIENTO DE COMBUSTIBLES,Cáceres,1
CATELSA-Cáceres,Cáceres,18
Central Nuclear de AlmarazGeneración de energía eléctrica de origen nuclear,Torrecilla de los Ángeles,74
CENTROWAGEN S.L.CONCESIONARIO OFICIAL DE LAS MARCAS AUDI Y VOLKSWAGEN PARA LA PROVINCIA DE BADAJOZ,Badajoz,2
CLONDEX - Marta Barroso Rodríguez (CLONDEX)La principal actividad de la empresa es la difusión y desarrollo en la tecnología de impresión 3D y de los sistemas CNC en general.,Badajoz,8
COBRA INSTALACIONES Y SERVICIOS S.A.,Madrid,14
COLEGIO OFICIAL DE INGENIEROS Y PERITOS DE BADAJOZ (COPITIBA)FINES Y FUNCIONES PROPIOS QUE LE ATRIBUYE LA LEGISLACIÓN VIGENTE DE COLEGIOS PROFESIONALES DE ÁMBITO ESTATAL Y AUTONÓMICO,Badajoz,2
Confederación Hidrográfica del Guadiana,Badajoz,2
CONSEJERÍA DE SALUD Y POLÍTICA SOCIAL,,12
Conservas Vegetales de Extemadura,Villafranco del Guadiana,19
CONSULTING DE ENERGÍAS RENOVABLES SIGLO XXI (EMECECUADRADO ING ENERGÉTICOS) (En trámite,Totana,13
Consultora Técnica de Proyectos e Inversiones,Badajoz,13
Coveless Ingeniería,Badajoz,19
D.C.Gas Extremadura - Cristian Lay,Badajoz,7
DEUTZ SPAIN,Zafra,144
DIAM CORCHOS S.A.Fabricación  de Tapones Tecnológicos de corcho.,San Vicente de Alcántara,5
DIPUTACIÓN PROVINCIAL DE CÁCERESADMINISTRACIN PBLICA,Cáceres,2
DUCTOLUX,Mérida,14
EFICAE SOLUCIONES C.B. (EFICAE)Se realizan los siguientes servicios:Optimización y estudio de suministro eléctricoElaboración de informesAuditorías EnergéticasProyectos,Badajoz,30
ELABOREX Calidad en la Construcción,Badajoz,16
ELECNOR,Badajoz,100
Electrotécnica Extremeña,Malpartida de Plasencia,2
Endesa Distribución Eléctrica,Badajoz,43
Endesa Generación,Sevilla,8
Energía de Miajadas,Miajadas,5
Energuia web (Energuia web) (En trámite,Pozuelo de Alarcón,1
